x,y,angle,image
4.908163265306122,6.5,-0.8740540452648857,6.png
4.642857142857142,6.5,-0.8148014516014533,7.png
4.377551020408163,6.5,-0.761498332510349,8.png
4.112244897959183,6.5,-0.7135523406560932,9.png
3.846938775510204,6.5,-0.6703845341392581,10.png
3.581632653061224,6.5,-0.6314534989390983,11.png
3.316326530612245,6.5,-0.5962668782072187,12.png
3.0510204081632653,6.5,-0.564384948542617,13.png
2.7857142857142856,6.5,-0.5354195419366258,14.png
2.520408163265306,6.5,-0.5090304958061753,15.png
2.2551020408163263,6.5,-0.4849209950248673,16.png
1.9897959183673466,6.5,-0.4628326132562307,17.png
1.724489795918367,6.5,-0.44254050165828523,18.png
1.4591836734693873,6.5,-0.42384895068017986,19.png
1.1938775510204076,6.5,-0.40658741840311713,20.png
0.9285714285714279,6.5,-0.39060704369768673,21.png
0.6632653061224483,6.5,-0.3757776223733412,22.png
0.3979591836734686,6.5,-0.361985005334736,23.png
0.13265306122448983,6.5,-0.3491288706806422,24.png
-0.13265306122448983,6.5,-0.3371208212685914,25.png
-0.3979591836734695,6.5,-0.32588276228209473,26.png
-0.6632653061224492,6.5,-0.31534551788659126,27.png
-0.9285714285714288,6.5,-0.30544765107798005,28.png
-1.1938775510204085,6.5,-0.29613445574037256,29.png
-1.4591836734693882,6.5,-0.28735709445495616,30.png
-1.7244897959183678,6.5,-0.2790718596238259,31.png
-1.9897959183673475,6.5,-0.2712395389678897,32.png
-2.255102040816327,6.5,-0.2638248694512519,33.png
-2.520408163265307,6.5,-0.25679606622309603,34.png
-2.7857142857142865,6.5,-0.2501244153072891,35.png
-3.051020408163266,6.5,-0.24378392056509987,36.png
-3.316326530612246,6.5,-0.23775099695911292,37.png
-3.5816326530612255,6.5,-0.23200420340261918,38.png
-3.846938775510205,6.5,-0.2265240095284437,39.png
-4.112244897959185,6.5,-0.22129259158848086,40.png
-4.3775510204081645,6.5,-0.21629365342898257,41.png
-4.642857142857144,6.5,-0.21151226910104462,42.png
-4.908163265306124,6.5,-0.20693474418090024,43.png
-5.1734693877551035,6.5,-0.20254849330728025,44.png
-5.438775510204083,6.5,-0.19834193180709841,45.png
-5.704081632653063,6.5,-0.1943043795875433,46.png
-5.9693877551020424,6.5,-0.1904259757317981,47.png
-6.23469387755102,6.5,-0.18669760245492906,48.png
